Id,SalePrice
1461,128959.49172585722
1462,122920.74024361209
1463,175704.82598102198
1464,200050.83263755203
1465,182075.4698640394
1466,172318.33397533256
1467,191064.62164199664
1468,165488.55901670418
1469,193158.99133191528
1470,116214.02546461606
1471,197517.3413640454
1472,110496.86930549458
1473,104627.9586038746
1474,160048.61859495306
1475,121950.25886405673
1476,346510.3457153764
1477,247172.1860445254
1478,268659.6426124126
1479,258557.8024989755
1480,480282.1381843292
1481,297738.1126856018
1482,199447.03903567293
1483,167917.03353740505
1484,161980.87331168767
1485,184049.47599013807
1486,197557.6101541093
1487,314256.17948245996
1488,244381.74024739346
1489,184648.63919222387
1490,224171.382671219
1491,190714.89131708094
1492,96982.00803373844
1493,210802.3018774433
1494,287432.0009488586
1495,285191.5945385517
1496,216516.07612404574
1497,166723.89459541926
1498,150726.29289539656
1499,156209.54319406993
1500,144994.90430561794
1501,153092.73886559787
1502,147212.16633150238
1503,299097.6137791527
1504,236840.31410658234
1505,219194.39164995306
1506,191403.85977972936
1507,256890.3316274017
1508,194506.0508575983
1509,157827.25669153573
1510,136401.3684771061
1511,142441.65245517294
1512,173597.81526881462
1513,111990.19829000311
1514,159520.6147332862
1515,200709.88171709175
1516,153270.52036111086
1517,166744.5204770064
1518,134265.77513054156
1519,217613.48012550213
1520,122512.45217043179
1521,122515.64286514741
1522,178665.20415802262
1523,99016.10938952769
1524,113643.38044583396
1525,118923.282593269
1526,105704.43307412835
1527,99693.75709334781
1528,150561.42329534245
1529,138051.25210715347
1530,218293.49297121653
1531,109960.9763123966
1532,107665.60135025119
1533,150931.48275792226
1534,127051.7066328663
1535,156245.29866500487
1536,112500.54669258885
1537,72812.86583079943
1538,170432.5548918863
1539,183898.1584938664
1540,94789.62951969398
1541,141845.60516119495
1542,141621.81167008445
1543,185697.2837190597
1544,92467.63962509435
1545,123174.67038043775
1546,135711.7593644275
1547,139412.97580794917
1548,138285.05681792
1549,120309.48961416607
1550,126816.00983878056
1551,123457.75111782773
1552,135736.23519570785
1553,140872.38177232962
1554,123317.03025568926
1555,160388.01251501177
1556,90697.88542309124
1557,97366.43493273137
1558,101610.80237505224
1559,78048.48869028437
1560,127459.1722707944
1561,117926.2089557225
1562,130869.4314779456
1563,113964.82897554527
1564,165018.6730749112
1565,150015.5537323599
1566,252665.928839747
1567,80778.81841562538
1568,210714.24590214036
1569,115683.97212736245
1570,142576.05567983174
1571,118206.00874942399
1572,143482.42505778384
1573,254609.8031680005
1574,114167.93922303311
